Name,Type,Address,Rating,Reviews,Latitude,Longitude,GoogleId,Url,Google-Id
Electra Athens,lodging,"Ερμού 5 str, Athina 105 63, Greece",4.5,1467,37.9757864,23.7330304,,https://maps.google.com/maps/contrib/117951942974544179877,ChIJf7kKkz29oRQRYjN9rN5NTCs
Novotel Athenes,lodging,"4, Michail Voda Str, Athina 104 39, Greece",4.2,4120,37.9895941,23.7250174,,https://maps.google.com/maps/contrib/110425847865059475168,ChIJa-QX1C29oRQRFbl43xxnp-w
"Dave Red Athens, a member of Brown Hotels",lodging,"Veranzerou 25, Athina 104 32, Greece",4.1,498,37.9856077,23.7277751,,https://maps.google.com/maps/contrib/102137786978612240072,ChIJlZIqJjC9oRQR-Asd8IBzi_8
Arion Athens Hotel,lodging,"Ag. Dimitriou 18, Athina 105 54, Greece",4.3,690,37.9794503,23.7256903,,https://maps.google.com/maps/contrib/117461652188277648754,ChIJ2eYbnCS9oRQRNYlDhT8ypSg
Anasa Hotel Athens,lodging,"Karori 9, Athina 105 51, Greece",4.5,12,37.9774896,23.727272,,https://maps.google.com/maps/contrib/106962355478063713128,ChIJdSK2-7e9oRQR_lPlfa1_jqY
The Gem Society Boutique Hotel & Spa,lodging,"Aristidou 3, Athina 105 59, Greece",4.7,393,37.9797847,23.7298075,,https://maps.google.com/maps/contrib/100902644788181935767,ChIJkQWHmsa9oRQRWcz14E7XqvU
Athens Iris Hotel,lodging,"Domokou 2, Athina 104 40, Greece",4.5,420,37.9937789,23.7213543,,https://maps.google.com/maps/contrib/116214362190115523052,ChIJw952y-29oRQRy3l15m2O_GU
Athens Cypria Hotel,lodging,"Diomeias 5, Athina 105 63, Greece",4.2,1193,37.9763758,23.7316886,,https://maps.google.com/maps/contrib/105816164175592685266,ChIJv_LuQzy9oRQRZKQVue1rf6U
Athenaeum Eridanus Luxury Hotel,lodging,"Pireos 78, Athina 104 35, Greece",4.3,502,37.9800814,23.7184469,,https://maps.google.com/maps/contrib/112653371604148206801,ChIJe2-r2SC9oRQRdbNv4r0DPZQ
Hotel Rio Athens,lodging,"Odisseos 15-17, Athina 104 36, Greece",2.6,330,37.9854152,23.7198869,,https://maps.google.com/maps/contrib/114355497803575724679,ChIJo05BryO9oRQRZf2v4OMZoMo
Electra Palace Athens,lodging,"Navarchou Nikodimou 18-20, Athina 105 57, Greece",4.6,2865,37.97376130000001,23.7317086,,https://maps.google.com/maps/contrib/107738249098786580593,ChIJ090SbiGVoRQRneonR3iT4R0
Breeze Boutique Hotel,lodging,"Chalkokondili 46, Athina 104 32, Greece",4.2,798,37.9863533,23.7275792,,https://maps.google.com/maps/contrib/116141529755378692478,ChIJL7l81TG9oRQRHjdg_sxbMzk
Classic Hotel by Athens Prime Hotels,lodging,"Chavriou 7, Athina 105 62, Greece",4.5,159,37.97802009999999,23.7305347,,https://maps.google.com/maps/contrib/117108252044256816740,ChIJe3tZ2lq9oRQRquyamIqL_1I
Victory Inn,lodging,"Trias 20, Athina 112 57, Greece",4.3,609,37.9960824,23.7342666,,https://maps.google.com/maps/contrib/110071033245773603157,ChIJ2xHdjMuioRQR2kgz1agPsFM
Royalty Hotel Athens,lodging,"Agias Irinis 43, Athina 105 51, Greece",4.6,198,37.9771448,23.7265729,,https://maps.google.com/maps/contrib/102585318332616426396,ChIJ__9TIyO9oRQRBmxyqgq5nHk
One three one,lodging,"Ermou 131, Athina 105 55, Greece",3.8,45,37.9771972,23.7218021,,https://maps.google.com/maps/contrib/110644792571740530597,ChIJ0TRqkVC9oRQRHLLXqigbUXw
Acropolis Magenta Luxury Suites,lodging,"Leof. Andrea Siggrou 56, Athina 117 42, Greece",4.2,67,37.9657047,23.7278778,,https://maps.google.com/maps/contrib/104003578047753504414,ChIJ4aaQeRC9oRQR0C7Mwaj-ZJQ
The Athens Mirabello City Hotel,lodging,"Geraniou 49, Athina 104 31, Greece",4.0,771,37.9841439,23.7259362,,https://maps.google.com/maps/contrib/103323783108955037078,ChIJMagGjsXdoRQRiVLICeeeJ5M
Marina-Athens Hotel,lodging,"Voulgari 13, Athina 104 37, Greece",3.4,1373,37.9834709,23.7240944,,https://maps.google.com/maps/contrib/116994326810615266241,ChIJS1bjmyW9oRQRR7tnNSzb2nI
Aristoteles Hotel,lodging,"Ἀcharnon 15, Athina 104 38, Greece",3.1,573,37.9882982,23.726596,,https://maps.google.com/maps/contrib/106047932917143472017,ChIJw9XODy69oRQRYZ2d_-UYTOg
Grand Forest Metsovo,lodging,"Interchange 7A, A2, Metsovo 442 00, Greece",4.4,1796,39.7748405,21.2046022,,https://maps.google.com/maps/contrib/117358853112140814068,ChIJqf4r0kx7WRMRFIhTcD0W6jk
Grand Meteora Hotel,lodging,"Καστράκι Καλαμπάκας, Kastraki Kalmpaka, Kastraki 422 00, Greece",4.4,1992,39.7195582,21.6111602,,https://maps.google.com/maps/contrib/109814876841957649348,ChIJC6QVYEkOWRMR2CWb-CwnTuA
