Name,Type,NearestCity,Latitude,Longitude,GoogleId
Jaffa Old City,Historical/Urban,tel aviv,32.0548566,34.7551977,ChIJiR1oybhMHRURfG1zbQBZJis
Rothschild Boulevard,Urban,tel aviv,32.0654326,34.7766433,ChIJa1iD9n1LHRURsvP3VvNpWsk
Neve Tzedek neighborhood,Historic/Urban,tel aviv,32.0621679,34.7648061,ChIJ1wZD1ZtMHRURhD_FVsUmRXQ
Tel Aviv Museum of Art,Cultural/Artistic,tel aviv,32.0776912,34.7866789,ChIJpz9FAptLHRURE7h6eDCkS_c
Carmel Market,Shopping/Cultural,tel aviv,32.0695406,34.7698197,ChIJPUMe0PFNHRUR1tauOSIjNmk
Hilton Beach,Nature/Beach,tel aviv,32.0903273,34.7694051,ChIJ_Y1FAnRMHRURtCzYiStpNxY
Independence Hall,Historical/Museums,tel aviv,32.0627465,34.7709137,ChIJVaNo_QtNHRUR5j52lCEEt_8
Dizengoff Center,Commercial center/Shopping mall,tel aviv,32.0751211,34.7749342,ChIJHVPHZIBLHRUR39I7WNDlIVU
Habima Square & Theater,Culture/Performing Arts,tel aviv,32.072387,34.7795841,ChIJC72L8YFLHRURukXv09VhNGA
Sarona Complex,Entertainment complex with shopping centers and restaurants,tel aviv,32.0710051,34.7872966,ChIJu_9NFJ1LHRURqnCPWAarsj0
Azrieli Observatory Tower,Viewing platform for city views,tel aviv,32.0744611,34.7916037,ChIJKbk7OXxLHRURvvLFi0-qFRs
The White City Bauhaus Architecture Tour,Architectural tourism in a UNESCO World Heritage Site area,tel aviv,32.0765714,34.774394,ChIJfbQnpHhMHRURIfixJQvC5eQ
Yarkon Park,Recreational parkland along riverbanks,tel aviv,32.100744,34.807026,ChIJPTi0CvRLHRURXzUWgJzSXf8
Eretz,Israel Museum - Archaeological museum showcasing Israeli history from ancient times to present day,tel aviv,32.1031819,34.7961939,ChIJ0X2q6uBLHRURndij5PvfBA8
Beit Hatfutsot: The Museum of Jewish Peoplehood,Educational cultural institution about global Jewry's story throughout time.,tel aviv,32.1137948,34.8053246,ChIJWwWBiG9JHRURWwoTx2FDXKU
Bahá'í Gardens,Urban/Historical,haifa,32.8134585,34.9874338,ChIJDalhabG7HRURmRZ_aPnF1yQ
Elijah's Cave,Historical,haifa,32.8299808,34.9695998,ChIJe4pW9K67HRURA0VYv_0bvGY
Stella Maris Monastery,Religious/Historical,haifa,32.82723530000001,34.9701292,ChIJ20DkH-u7HRUR-gdQwC1MJA4
Haifa Museum of Art,Cultural/Urban,haifa,32.8150519,34.9925568,ChIJYcoojLS7HRURW072y9lgdlw
Louis Promenade,Nature/Scenic Viewpoint,haifa,32.8089888,34.9862248,ChIJS7gUrK-7HRURFZoMJi_Cye0
German Colony,Historic District,haifa,31.7631206,35.2187996,ChIJo4Jq-iUoAxURhtvWWLYLiFY
National Maritime Museum,Educational/Cultural,haifa,32.8289758,34.9723395,ChIJoZkPbuq7HRURiCURbCWxUts
Baha’i World Centre,Spiritual Center/Architectural Landmark,haifa,32.8112013,34.9885467,ChIJuVHL5LG7HRURH4o5krytQdg
Wadi Nisnas Marketplace,Shopping Area/Local Culture,haifa,32.8170303,34.9938151,ChIJ7QJhObW7HRURNSZUryBfr3g
Mount Carmel Park,Natural Reserve,haifa,32.7365672,35.0356824,ChIJP_Orx9O6HRUR3xiYkoPuUVg
Madatech Science & Technology Museum,Interactive Learning Experience,haifa,32.8103334,34.9963427,ChIJs0Lu3Uy6HRURoP8NSq7iqxQ
Tikotin Museum of Japanese Art,International Arts Exhibition,haifa,32.8092789,34.9852745,ChIJRw7IoK-7HRURcrqInMYq8yg
Haifa Zoo,Animal Attraction/Education,haifa,32.8062184,34.9867119,ChIJgxz0L6m7HRURroQMrNe5GPg
The Port of Haifa,Commercial Harbor with Scenic Walkway,haifa,32.8213072,35.0007031,ChIJqUT9jDO6HRURoz7Z7hlpPg4
Dado Beach,Recreational Coastal Destination,haifa,32.7940865,34.9551413,ChIJfZ8mAmS7HRUR-ygNjgm1xkU
