Name,Type,Latitude,Longitude
Krupówki Street,Urban/Shopping,49.2938545,19.9538936
Gubałówka Hill,Nature/Viewpoint,49.298524,19.9454401
Tatra National Park,Natural Reserve/Hiking Trails,49.271441,19.982744
Morskie Oko Lake,Scenic Spot/Nature Walks,49.1971411,20.070087
Wielka Krokiew Ski Jumping Center,Sports Facility/Spectator Events,49.2794102,19.9639442
Chochołowska Valley,Hiking Trail/Scenery,49.2666667,19.8333333
Muzeum Oscyporka w Zakopanem,Food Museum/Local Cuisine Exhibition,49.2953934,19.9638039
Kościeliska Valley,Cave Exploration/Outdoor Activities,49.25,19.8666667
Szymoszkowa Ski Resort,Winter Sport Destination,49.292889,19.9296709
Tatras Aquapark & Spa Complex,Recreational Centre/Waterpark,49.1067428,19.5699039
Willa Koliba Regional Folk Architecture Museum,Historical Site/Architectural Display,49.2943432,19.9430101
Nosal Mountain Chairlift Ride,Outdoors Activity/Panoramic Viewpoints,,
Dunajec River Boat Trips through Pieniny National Park,Water Adventures/Landscape Tourism,49.3944791,20.4123775
The Wooden Church of Our Lady of Częstochowa,Religious Building/Historic Landmark,40.318964,-75.179362
Thermal Baths at Terma Bukovina or Chocholowskie Termy,Wellness Centres/Relaxation,49.3518174,19.8231171
