Name,Type,Address,Rating,Reviews,Latitude,Longitude,GoogleId,Url,Google-Id
Aries Hotel & SPA,lodging,"Mariusza Zaruskiego 5, 34-500 Zakopane, Poland",4.7,1665,49.2941929,19.94945,,https://maps.google.com/maps/contrib/100807502290046792459,ChIJX8HkTpfyFUcRD3sQtvfDPZU
Nosalowy Dwór Resort & SPA,lodging,"Droga Oswalda Balzera 21D, 34-500 Zakopane, Poland",4.6,7829,49.2849538,19.9872669,,https://maps.google.com/maps/contrib/111916393960475446867,ChIJQ4GHzeHyFUcRSFL_LyDptic
Hotel Grand Nosalowy Dwór,lodging,"Droga Oswalda Balzera 21C, 34-500 Zakopane, Poland",4.5,355,49.2856951,19.9882732,,https://maps.google.com/maps/contrib/108126807168964614177,ChIJc5CdkjfzFUcRY4m4YZdxnmU
Grand Hotel Stamary,lodging,"Tadeusza Kościuszki 19, 34-500 Zakopane, Poland",4.7,1797,49.29907840000001,19.9588976,,https://maps.google.com/maps/contrib/108169147573879061620,ChIJaUtyF47yFUcRxoooo3EkYn4
Villa Belweder,lodging,"Regle 9C, 34-500 Zakopane, Poland",4.7,206,49.2831511,19.94247,,https://maps.google.com/maps/contrib/113124266244691588535,ChIJPa5GJbvyFUcRjHgZcMnYau0
Bachleda Hotel Kasprowy,lodging,"Szymaszkowa 20, 34-500 Zakopane, Poland",4.4,4551,49.294209,19.9310544,,https://maps.google.com/maps/contrib/109265642697038177731,ChIJuSYVsmHtFUcRqCE29k2PSgY
"Radisson Blu Hotel & Residences, Zakopane",lodging,"Bulwary Słowackiego, 34-500 Zakopane, Poland",4.4,1811,49.292569,19.9666777,,https://maps.google.com/maps/contrib/108710933948126847870,ChIJjxRZkezyFUcRbEq9asFbVQE
Bachleda Resort Zakopane,lodging,"Kazimierza Przerwy-Tetmajera 16, 34-500 Zakopane, Poland",4.7,772,49.28973209999999,19.9574141,,https://maps.google.com/maps/contrib/107554534749814798612,ChIJh_9n7aPzFUcR_84Y7OxjY2M
Hotel Sabała,lodging,"Krupówki 11, 34-500 Zakopane, Poland",4.6,226,49.2956328,19.9507327,,https://maps.google.com/maps/contrib/114374854046654931670,ChIJQZDhvuLzFUcRTfSDxs89atA
Hotel Crocus,lodging,"Tytusa Chałubińskiego 40, 34-500 Zakopane, Poland",4.7,1066,49.285987,19.971735,,https://maps.google.com/maps/contrib/111620234041863165074,ChIJ6aZaLujyFUcRrdp2G5m01R4
Hotel Gold Zakopane & SPA,lodging,"Droga Oswalda Balzera 35, 34-500 Zakopane, Poland",4.7,1111,49.2843809,19.9907091,,https://maps.google.com/maps/contrib/109975761638892094947,ChIJHRLCyx_zFUcRg-VbwxrRhz8
Hotel Willa Pod Skocznią,lodging,"Józefa Piłsudskiego 59a, 34-500 Zakopane, Poland",4.6,780,49.2857064,19.9637613,,https://maps.google.com/maps/contrib/117057834723929756587,ChIJ_4HXxsHyFUcRPVYw6yD_YxE
Good Bye Lenin,lodging,"Chłabówka 44, 34-500 Zakopane, Poland",4.6,391,49.2862545,19.9983561,,https://maps.google.com/maps/contrib/105109833146680211805,ChIJuflqRRnzFUcR2Oyczd5TAUY
Villa Nova,lodging,"Stanisława Staszica 8 A, 34-500 Zakopane, Poland",4.8,854,49.2933463,19.9571162,,https://maps.google.com/maps/contrib/117323258979342955203,ChIJ8zbXB5TyFUcRXr2EDc0Xhjk
Nosalowy Park Hotel & SPA,lodging,"Tadeusza Kościuszki 18, 34-500 Zakopane, Poland",4.7,952,49.2983749,19.9593359,,https://maps.google.com/maps/contrib/103755709123229298396,ChIJY93B1d7zFUcR4Zzq3u0aF3w
