Name,Type,NearestCity,Latitude,Longitude,GoogleId
Krupówki Street,Urban/Shopping,zakopane,49.29385449999999,19.9538936,ChIJOdwFMZHyFUcRceAH7r6DNWM
Gubałówka Hill,Nature/Viewpoint,zakopane,49.298524,19.9454401,ChIJ78RhB5vyFUcRRilY1ehRreE
Tatra National Park,Nature/Hiking,zakopane,49.271441,19.982744,ChIJZ3iO46eiFUcRS0xKhN41vCg
Morskie Oko Lake,Nature/Lake,zakopane,49.1971411,20.070087,ChIJwTV6Q1qKFUcR8SqsSHwKtaI
Chochołowska Valley,Nature/Valley,zakopane,49.26666669999999,19.8333333,ChIJoYY08xeTFUcRiuEXeabBkRQ
Jaszczurówka Chapel on the Rock,Historical/Chapel,zakopane,49.28426160000001,20.0013827,ChIJ5y24ghnzFUcRcG4TczhwoVc
Wielka Krokiew Ski Jumping Center,Sports/Ski jumping center,zakopane,49.2794102,19.9639442,ChIJna4xYnzyFUcRJWKwWICtzHM
Thermal Pools of Bukovina,Recreational/Thermal pools,zakopane,49.32483389999999,20.0940415,ChIJI95vhwL0FUcRd17p6BkLCIM
Dunajec River Rafting Trips,Adventure/River rafting trips,zakopane,49.42628089999999,20.445755,ChIJX70vQSEEPkcRs7iGmFooq90
"The Museum of Zakopane Style ""Koliba""",Cultural/Museum,zakopane,49.2943432,19.9430101,ChIJwa9uPpnyFUcR21V_sXXpsM8
Nosal Mountain Funicular Railway,Transportation/Funicular railway,zakopane,49.2693317,19.979218,ChIJ0YIng9OMFUcRUMoNfX1ePbQ
Szymoszkowa Slope with ski lifts,Winter sports/Ski slope,zakopane,49.292889,19.9296709,ChIJb-XjLGftFUcRf9Yuy0iES9U
Tatras Ethnographic Park,Culture/Ethnographic park,zakopane,49.271441,19.982744,ChIJZ3iO46eiFUcRS0xKhN41vCg
Kościeliska Valley,Nature/Valley,zakopane,49.25,19.8666667,ChIJtyGA6_KSFUcRlG7ExIVXEQk
Willa Koliba,Architectural monument/Villa,zakopane,49.2942945,19.9429591,ChIJJy6cj4vzFUcRUGJsB2fOQ-g
Rynek,Urban/Historical,wroclaw,50.25472200000001,21.0997221,ChIJc6U6DtJkPUcRU4fmvT4jpAU
Ostrów Tumski,Historical/Religious,wroclaw,51.1144235,17.0462646,ChIJSw9zz93pD0cR6Yk3hx8ybqI
Panorama Racławicka,Artistic/Historical,wroclaw,51.1103046,17.0449743,ChIJt3QO4tfpD0cRGn3pBQc7SDc
Wrocław Zoo & Afrykarium,Nature/Zoological Parks,wroclaw,51.10563,17.0762482,ChIJT86vfifoD0cRLbauTNu0ARo
Hala Stulecia,Architectural/Urban,wroclaw,51.10695339999999,17.0773287,ChIJaT7HDCfoD0cRlyH-4MIQYJU
Centennial Hall UNESCO Site,Cultural/Architecture,wroclaw,51.10695339999999,17.0773287,ChIJaT7HDCfoD0cRlyH-4MIQYJU
Szczytnicki Park,Natural/Recreational Area,wroclaw,51.1147656,17.0810544,ChIJb3m4KTvoD0cReFlstvsfxKU
Old Town,Hall Tower - Historic Landmark,wroclaw,52.2477331,21.0136079,ChIJ3Xb5SW_MHkcRT2114lb00lA
Cathedral of Saint John the Baptist,Religious/Historic Building,wroclaw,51.1142099,17.0465169,ChIJOYQ7UNfpD0cRdtMQIfwwU94
Market Square Cloth Hall,Shopping/Marketplace,wroclaw,50.0615991,19.9373312,ChIJ3Q97Bw5bFkcRc3GzJiVsH9A
Japanese Garden in Szczytnicki Park,Gardens/Nature,wroclaw,51.1096604,17.0790447,ChIJg1sdgyboD0cR2Nhu9MSp4_8
National Museum,Arts/Culture,wroclaw,52.2321171,21.0242024,ChIJK6UEcvfMHkcR0iGDJoZsIgc
Botanical Garden,Nature/Botanical Collection,wroclaw,50.0635669,19.9555311,ChIJyx3P-BdbFkcRhucFB_6DMvA
Multimedia Fountain at Pergola,Entertainment/Water Show,wroclaw,51.1087669,17.0789492,ChIJX5cfeijoD0cRSLGsxqvLLKA
Książ Castle,Castles/Palaces,wroclaw,50.8423154,16.2915673,ChIJ_8-gefFUDkcROJcI7PFONBc
