Name,Type,Address,Rating,Reviews,Latitude,Longitude,GoogleId,Url,Google-Id
Hotel Riverside AquaCity Poprad,lodging,"Športová 1397/1, 058 01 Poprad-Spišská Sobota, Slovakia",4.0,430,49.06057029999999,20.3075101,,https://maps.google.com/maps/contrib/116130093814509993421,ChIJVQbJtu46PkcR382JcIpPeZg
Hotel SATEL,lodging,"Mnoheľova 826/5, 058 01 Poprad, Slovakia",4.1,2227,49.0566667,20.2958332,,https://maps.google.com/maps/contrib/106147235194195772877,ChIJ5yQoapU6PkcRM-JeaJrApS8
Kalix Boutique Hotel ****,lodging,"Františka Hečku 582, 058 01 Poprad-Stráže, Slovakia",4.9,120,49.0551463,20.3265742,,https://maps.google.com/maps/contrib/103069610119506165998,ChIJu-oE-mc7PkcRGNU_LKZ_b0A
Hotel Cafe Razy,lodging,"Námestie svätého Egídia 38, 058 01 Poprad, Slovakia",4.1,574,49.0550694,20.3042116,,https://maps.google.com/maps/contrib/118349952247234455485,ChIJmVtpcJM6PkcR9RNvY8M_lLM
Villa Zauber,lodging,"Kukučínova 6/5317/7A, 058 01 Poprad, Slovakia",4.7,273,49.057874,20.3101881,,https://maps.google.com/maps/contrib/107310723582686788801,ChIJzVoZnu06PkcRj7_AGPq3h4M
Penzión Slávia,lodging,"1. mája 227, 058 01 Poprad, Slovakia",3.9,499,49.05919069999999,20.299139,,https://maps.google.com/maps/contrib/105664114417736633755,ChIJF-tGmuo6PkcRWZ8W_PcM16o
doma u nás by Gabo Kocák,lodging,"Sobotské námestie 27, Spišská Sobota, 058 01 Poprad, Slovakia",4.9,271,49.0655912,20.3159869,,https://maps.google.com/maps/contrib/102544248479536140510,ChIJPUDjROU6PkcRK4h_bxSNe9k
Vila Mery,lodging,"Brežný riadok 189/5, 058 01 Poprad, Slovakia",4.7,297,49.054621,20.2910722,,https://maps.google.com/maps/contrib/100419724686077895421,ChIJwzZia746PkcR8ZarLN-IPj0
High Tatras - Accommodation,lodging,"Starý Smokovec 25, 062 01 Vysoké Tatry-Starý Smokovec, Slovakia",4.8,19,49.1388341,20.2242454,,https://maps.google.com/maps/contrib/104413449948761107395,ChIJZ_m2vfYjPkcR9eUNyHPSM40
Pension U Stephen,lodging,"Športová 05801, Spišská Sobota, 058 01 Poprad, Slovakia",4.3,822,49.0606569,20.309278,,https://maps.google.com/maps/contrib/116407189275194621476,ChIJCbIrg-46PkcRBnbX6wCZrBY
Wellness Hotel Patria,lodging,"Štrbské Pleso 33, 059 85 Vysoké Tatry-Štrbské Pleso, Slovakia",4.5,2488,49.1244727,20.0612118,,https://maps.google.com/maps/contrib/108940640338948890370,ChIJIcFyK34nPkcRV2RW4j46WIU
Hotel Mountain View,lodging,"Spišská Sobota, 058 01 Poprad-Spišská Sobota, Slovakia",3.7,15,49.0598824,20.3068601,,https://maps.google.com/maps/contrib/112945297464021607432,ChIJe-xRkY07PkcRCMvn8wwcRyc
Hotel Tatranec,lodging,"Tatranská Lomnica - Eurocamp 202, 059 60 Vysoké Tatry, Slovakia",3.9,387,49.1590204,20.3093219,,https://maps.google.com/maps/contrib/108997035562753225287,ChIJkaF0NyAjPkcRg0FM5a6ch4Q
Hotel Európa,lodging,"Jiřího Wolkera 464/11, 058 01 Poprad, Slovakia",4.4,548,49.0595274,20.2942541,,https://maps.google.com/maps/contrib/117022277744655917016,ChIJ7zTYa8A6PkcRxZTpTgHIINc
Penzión Borievka,lodging,"Jesenského 2227/2, 058 01 Poprad-Spišská Sobota, Slovakia",4.8,204,49.0671528,20.3142552,,https://maps.google.com/maps/contrib/108838652087536597034,ChIJGep1qOU6PkcRLKUWvuXzIHw
Penzión Plesnivec,lodging,"Bulharská 2271, Spišská Sobota, 058 01 Poprad, Slovakia",4.6,100,49.0621121,20.3144059,,https://maps.google.com/maps/contrib/103904803057940233715,ChIJPZPbK-46PkcR7jHgrQ4YQnM
Pension Darinka,lodging,"Boženy Němcovej 5355/1B, 058 01 Poprad-Spišská Sobota, Slovakia",4.8,301,49.06417440000001,20.3109182,,https://maps.google.com/maps/contrib/113852812465640863801,ChIJ1e6KC-86PkcRn8-GnUxD47A
Hotel Mamut,lodging,"Moyzesova 30, 058 01 Poprad, Slovakia",4.7,200,49.0486081,20.2933101,,https://maps.google.com/maps/contrib/100318279239653747926,ChIJ8S1Q7Cc7PkcRmBmsqgs5hwU
